国・地域,累計死者数,累計死者数（人口1000人あたり）
タジキスタン,125,0.013105964765714628
タンザニア,846,0.01416273786012716
タイ,33882,0.4854156257756987
東ティモール,138,0.10466899567823233
トーゴ,290,0.035029497856979876
,13,0.22586305749083518
トリニダード・トバゴ,4326,3.091123844311968
チュニジア,29312,2.480154617062672
トルコ,101492,1.2033806349790424
,0,0.0
米国,1114341,3.36656220154034
ウガンダ,3630,0.07935987407358824
ウクライナ,119089,2.723045142312144
アラブ首長国連邦,2348,0.23740192509908598
英国,218476,3.2182775112230795
ウルグアイ,7614,2.1918820909069714
ウズベキスタン,1637,0.048910641691783545
バヌアツ,14,0.04558033534103858
ベネズエラ,5851,0.20576071628783332
ベトナム,43186,0.4436678516267285
パレスチナ,5708,1.1189050255850532
,0,0.0
イエメン,2159,0.07238658607827916
ザンビア,4050,0.22030078836132985
ジンバブエ,5659,0.38074599976168894
